SNCT_SEQ,REG_DT,MAX_SPD,CCTV_CNT,FCLTY_NM,ROAD_WDT,CCTV_YN,ADDR,SIGUN_CD,SIGUN_NM,X,Y,FCLTY_TY,GEOM,DATA_TYPE
49405,20220630,30,0,은빛어린이집,7~9,1 ,서울특별시 강서구 방화대로44길 49 (방화동) ,11500,강서구,126.8184020497989,37.57118513244129,1,"POLYGON((126.8180474829905 37.57152471174551,126.81809304671265 37.571407652739694,126.81839132083067 37.570941847534456,126.81845075978666 37.57093743398599,126.81844523120043 37.57088336583736,126.81814515189308 37.5709279536761,126.8181365581144 37.5709707376574,126.81828658148335 37.570955201275325,126.81798828473426 37.57143001611946,126.81796825597807 37.57152008463982,126.8180474829905 37.57152471174551))",C0103
49401,20220630,30,0,리라어린이집,4,1 ,서울특별시 강서구 초록마을로18길 36 (화곡동) ,11500,강서구,126.84887992908477,37.54057166590981,1,"POLYGON((126.84847584461802 37.54035941331078,126.84850698369694 37.54034819077326,126.84936057390385 37.540693914901205,126.84938327200209 37.540660156387816,126.8485155383134 37.54031441427976,126.848487314603 37.54028284310091,126.84847584461802 37.54035941331078))",C0103
49402,20220630,30,0,리라어린이집,4,1 ,서울특별시 강서구 초록마을로18길 36 (화곡동) ,11500,강서구,126.84887992908477,37.54057166590981,1,"POLYGON((126.84887668206635 37.54077889154518,126.84911789458886 37.54039852786838,126.84906419364228 37.54037593426393,126.84882862936284 37.54076081005844,126.84887668206635 37.54077889154518))",C0103
49400,20220630,30,0,공공직장어린이집,6,1 ,서울특별시 강서구 강서로33가길 42 (화곡동) ,11500,강서구,126.8378836869148,37.54356191266714,1,"POLYGON((126.83815334532717 37.54313881324331,126.83714683243639 37.5441803352057,126.83709033782813 37.54414196484599,126.8381024940848 37.54310720858542,126.83815334532717 37.54313881324331))",C0103
49395,20220630,30,0,별빛어린이집,4,2 ,서울특별시 강서구 공항대로 447 (등촌동) ,11500,강서구,126.85687518287554,37.55476558958702,1,"POLYGON((126.85651259636764 37.55499265125526,126.8565239913312 37.554952120238084,126.85669651863434 37.55498386465287,126.85701916298625 37.554930195981974,126.85711220751534 37.555099245552526,126.85725063327018 37.55520978511796,126.85734110698009 37.555243681851515,126.85746274618101 37.555255091219045,126.85753068840506 37.55523490078799,126.85757041030713 37.55517638390839,126.85760987499964 37.555253016249075,126.85748532496025 37.55528440087485,126.85742019054123 37.55531585713201,126.85719682038568 37.555239002447045,126.85708669208908 37.555126244580876,126.85703302981118 37.555076624783325,126.85700204081493 37.555006759990725,126.85697095286164 37.55498870239631,126.85671059616692 37.55501992161704,126.85651259636764 37.55499265125526))",C0103
49394,20220630,30,0,금낭화유치원,300,2 ,서울특별시 강서구 금낭화로 35 (방화동) ,11500,강서구,126.81154882460116,37.56859980071762,1,"POLYGON((126.81165503646375 37.56800080892422,126.81181349922856 37.568003314108,126.81167354034329 37.570766890796264,126.81151507172943 37.57076438540995,126.81165503646375 37.56800080892422))",C0103
46091,20210726,30,1,윤희유치원,12,1 ,서울특별시 강서구 강서로 216-23 (화곡동) .,11500,강서구,126.83767806194838,37.54558747675296,1,"POLYGON((126.8371129189121 37.54528936911419,126.83718668686004 37.545190361039836,126.83771814087963 37.54536903976941,126.83803193897964 37.54546858041256,126.83845329631764 37.54554123747255,126.83923115069105 37.54559185397904,126.83939522980866 37.54559207725735,126.83958486118767 37.545549537606774,126.8399330289817 37.54545315276566,126.84006039888622 37.54542179041344,126.84024998619998 37.54539952209419,126.8410592217804 37.54532628174576,126.84111580537116 37.545324105398365,126.84113255435152 37.54542999523195,126.84086660006061 37.54544540459077,126.84028653660187 37.5455054388322,126.8401394024901 37.54551875470772,126.83978559121353 37.54560837501254,126.83948556303321 37.5456822999079,126.83935822144747 37.545700146703325,126.83921394477389 37.54569995033879,126.8390329110684 37.545690693715436,126.83849549242962 37.54565166747477,126.83827488280129 37.54562884058069,126.8380797533527 37.54559703823457,126.83792707781366 37.54555628386089,126.83756806524082 37.5454341557973,126.8371129189121 37.54528936911419))",C0103
45294,20210622,30,1,구립새하늘어린이집,4~8,1 ,서울특별시 강서구 강서로17다길 15-14 (화곡동) 구립새하늘어린이집,11500,강서구,126.84141566440331,37.533256125914676,1,"POLYGON((126.84124894011822 37.53324878407245,126.84125497889669 37.533215590356654,126.84222546270642 37.53326905874117,126.84221942306854 37.53331646577728,126.84218607479173 37.53359856949624,126.84208188765218 37.533591334792185,126.84212416146939 37.533302125194396,126.84124894011822 37.53324878407245))",C0103
45293,20210622,30,1,하늘숲어린이집,6,1 ,서울특별시 강서구 강서로45다길 102 (화곡동) 하늘숲어린이집,11500,강서구,126.83450061511905,37.543408828317204,1,"POLYGON((126.83468722060671 37.54386431919622,126.83474084353932 37.543857276357535,126.83442128305937 37.542927403698194,126.8343527652909 37.542941520850476,126.83468722060671 37.54386431919622))",C0103
45292,20210622,30,0,엠밸리큰나무어린이집,16,2 ,서울특별시 강서구 마곡중앙8로1길 10 (마곡동) 큰나무어린이집,11500,강서구,126.83595998528165,37.56187536068673,1,"POLYGON((126.83603757381502 37.563217523931975,126.83616266352878 37.563208192148885,126.83586876096689 37.56141052283276,126.83574958530016 37.561434098149995,126.83603757381502 37.563217523931975))",C0103
